"","date","BTC","ETH","XRP","BCH","LTC","ADA","NEO","XLM","EOS","DASH","XMR","MIOTA","XEM","ETC","TRX","VEN","LSK","USDT"
"2018-01-08","2018-01-08",15170.1,1148.53,2.46,2421.47,255.76,0.899002,102.38,0.629323,9.69,1087.75,405.07,3.85,1.65,34.19,0.151993,4.23,31.3,1.01
"2018-01-09","2018-01-09",14595.4,1299.74,2.1,2391.56,247.04,0.814743,126.94,0.585653,9.33,1111.86,413.33,3.54,1.54,38.32,0.124782,4.59,29.91,1.01
"2018-01-10","2018-01-10",14973.3,1255.82,1.97,2895.38,250.52,0.793121,122.99,0.56693,11.34,1106.36,407.74,3.78,1.45,36.95,0.129553,6.34,29.19,1
"2018-01-11","2018-01-11",13405.8,1154.93,1.95,2462.61,229.37,0.688412,108.3,0.558126,11.35,1007.88,355.59,3.37,1.31,32.79,0.10908,6.44,25.26,1
"2018-01-12","2018-01-12",13980.6,1273.2,2.04,2620.99,236.86,0.897508,124.47,0.67796,13.75,1054.87,394.78,3.69,1.44,36.4,0.108858,6.26,29.43,1.01
"2018-01-13","2018-01-13",14360.2,1396.42,2.02,2685.29,259.19,0.884124,140.62,0.671564,16.23,1100.26,420.05,3.94,1.51,42.39,0.103035,5.86,29.34,1
"2018-01-14","2018-01-14",13772,1366.77,1.86,2553.32,238.68,0.802262,170.42,0.630856,13.44,1014.07,399.52,3.74,1.39,42.96,0.084782,6.06,27.72,1.02
"2018-01-15","2018-01-15",13819.8,1291.92,1.68,2401.54,232.77,0.778587,187.41,0.599271,12.94,939.19,414.57,3.48,1.39,40.5,0.075694,6.06,26.91,1.01
"2018-01-16","2018-01-16",11490.5,1053.69,1.18,1772.07,188.33,0.626493,145.3,0.441197,10.28,759.62,320.04,2.6,1.03,28.46,0.054488,4.92,21.16,1.03
"2018-01-17","2018-01-17",11188.6,1014.25,1.31,1748.05,186.52,0.629102,141.37,0.477187,10.19,793.57,319.19,2.72,1.02,29.12,0.075623,4.79,22.31,1.01
"2018-01-18","2018-01-18",11474.9,1036.28,1.6,1756.75,192.84,0.659843,142.66,0.509523,10.51,835.49,316.47,2.75,1.08,30.19,0.083179,5.5,23.03,1.02
"2018-01-19","2018-01-19",11607.4,1039.1,1.55,1769.62,192.96,0.650498,139.5,0.506232,11.18,846.16,364.62,2.7,1.1,31.7,0.080499,5.92,23.04,1
"2018-01-20","2018-01-20",12899.2,1155.15,1.58,2032.12,211.02,0.70751,149.94,0.534677,15.52,926.12,383.79,3,1.21,35.01,0.085201,8.14,25.51,1
"2018-01-21","2018-01-21",11600.1,1049.58,1.38,1776.64,190.42,0.613163,131.09,0.464117,13.44,818.27,345.08,2.77,1.07,30.32,0.071186,7.88,22.12,0.999861
"2018-01-22","2018-01-22",10931.4,1003.26,1.36,1621.92,180.01,0.570458,123.66,0.486338,13.66,763.2,315.9,2.47,0.991465,29.26,0.071412,8.27,21.39,1.01
"2018-01-23","2018-01-23",10868.4,986.23,1.34,1621.46,177.81,0.56307,121.6,0.486185,12.97,757.34,308.46,2.5,0.942383,28.37,0.068572,7.69,21.82,1.01
"2018-01-24","2018-01-24",11359.4,1058.78,1.36,1639.13,179.99,0.622208,136.41,0.567014,13.83,775.11,317.4,2.43,0.96375,29.6,0.070421,7.44,22.16,0.997484
"2018-01-25","2018-01-25",11259.4,1056.03,1.31,1642.12,180.27,0.637495,138,0.608253,14.31,795.65,317.1,2.37,0.9491,29.19,0.068766,6.93,22.65,0.999595
"2018-01-26","2018-01-26",11171.4,1055.17,1.22,1603.9,176.73,0.623382,137.89,0.633916,14.34,782.41,323.69,2.37,0.839974,28.8,0.06663,7.3,21.4,1
"2018-01-27","2018-01-27",11440.7,1107.07,1.22,1628.63,180.89,0.616833,140.2,0.613061,14.27,773.84,321.36,2.45,1.06,29.49,0.068422,6.92,23.25,0.993325
"2018-01-28","2018-01-28",11786.3,1246.01,1.4,1746.25,193.87,0.670286,152.16,0.634421,15.02,812.24,332.17,2.52,1.03,32.9,0.065495,6.8,23.29,0.98879
"2018-01-29","2018-01-29",11296.4,1182.36,1.32,1657.14,181.66,0.623204,168.14,0.589283,14.01,767.69,316.63,2.58,0.935431,31.71,0.064001,6.43,22.55,0.995319
"2018-01-30","2018-01-30",10106.3,1071.13,1.14,1470.55,165.28,0.531913,146.28,0.489648,11.56,676.91,274.02,2.22,0.776491,27.13,0.053761,5.83,21.71,0.986486
"2018-01-31","2018-01-31",10221.1,1118.31,1.16,1486.89,163.35,0.519315,145.76,0.539797,12.2,697.46,272.89,2.31,0.779857,28.76,0.054454,6.33,26.34,0.990274
"2018-02-01","2018-02-01",9170.54,1036.79,0.96253,1274.35,142.3,0.421672,126,0.456455,10.21,617.04,240.97,1.91,0.618265,24.97,0.046227,5.27,22.34,0.986939
"2018-02-02","2018-02-02",8830.75,915.78,0.884784,1191.14,131.38,0.390534,120.13,0.405075,9.79,586.88,235.63,1.81,0.582652,23.07,0.040799,4.9,21.41,0.990747
"2018-02-03","2018-02-03",9174.91,964.02,0.924043,1272.5,160.25,0.438836,122.97,0.430056,9.84,637.37,251.59,1.99,0.628795,24.2,0.044472,5.52,23.08,1
"2018-02-04","2018-02-04",8277.01,834.68,0.815703,1165.38,148.03,0.379303,107.45,0.377231,8.61,549.96,221.05,1.74,0.55087,21.04,0.037933,4.54,20.01,1.01
"2018-02-05","2018-02-05",6955.27,697.95,0.691799,887.41,125.33,0.327371,82.37,0.331192,7.06,451.43,179.49,1.45,0.449672,16.53,0.030161,3.51,15.13,0.996308
"2018-02-06","2018-02-06",7754,793.12,0.776393,974.52,142.99,0.369753,105.95,0.370811,8.34,528.5,212.29,1.62,0.5842,19.39,0.036478,4.19,18.26,1.01
